"","water_system_number","water_system_name","facility_id","facility_names","treatment_type","treatment_status","class","unit_process","treatment_objective","treatment_process"
"1",103041,"TRAILER HAVEN MOBILE HOME PARK",2,"WELLHEAD CHLORINATION","TP","treatment_status","TD","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"2",105002,"RIVERS END MARINA",2,"WELL 01 - TREATED","TP","treatment_status","TD","PACKAGE UNIT","INORGANICS REMOVAL","ION EXCHANGE"
"3",105003,"CEMEX ELIOT PLANT",2,"WELLHEAD CHLORINATION","TP","treatment_status","TD","DISINFECTION","DISINFECTION","HYPOCHLORINATION, PRE"
"4",105010,"EBRPD - DEL VALLE REGIONAL PARK",2,"DEL VALLE REGIONAL PARK WTP","TP","treatment_status","T2","DISINFECTION","DISINFECTION","GASEOUS CHLORINATION, PRE"
"5",105010,"EBRPD - DEL VALLE REGIONAL PARK",2,"DEL VALLE REGIONAL PARK WTP","TP","treatment_status","T2","FILTER","PARTICULATE REMOVAL","FILTRATION, PRESSURE SAND"
"6",105010,"EBRPD - DEL VALLE REGIONAL PARK",2,"DEL VALLE REGIONAL PARK WTP","TP","treatment_status","T2","FLOCCULATION","PARTICULATE REMOVAL","COAGULATION"
"7",105010,"EBRPD - DEL VALLE REGIONAL PARK",2,"DEL VALLE REGIONAL PARK WTP","TP","treatment_status","T2","FLOCCULATION","PARTICULATE REMOVAL","FLOCCULATION"
"8",105010,"EBRPD - DEL VALLE REGIONAL PARK",2,"DEL VALLE REGIONAL PARK WTP","TP","treatment_status","T2","SEDIMENTATION","PARTICULATE REMOVAL","SEDIMENTATION"
"9",105012,"EBRPD - SUNOL REGIONAL WILDERNESS",3,"WELL 01 - TREATED","TP","treatment_status","TD","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"10",105012,"EBRPD - SUNOL REGIONAL WILDERNESS",4,"WELL 02 - TREATED","TP","treatment_status","TD","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"11",105013,"EBRPD - REDWOOD SPRING REGIONAL PARK",2,"SPRING 02 CHLORINATION","TP","treatment_status","TD","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"12",105020,"ALAMEDA COUNTY FAIRGROUNDS",3,"MAIN WELL GAC FACILITY","TP","treatment_status","T1","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"13",105020,"ALAMEDA COUNTY FAIRGROUNDS",3,"MAIN WELL GAC FACILITY","TP","treatment_status","T1","FILTER","ORGANICS REMOVAL","ACTIVATED CARBON, GRANULAR"
"14",105020,"ALAMEDA COUNTY FAIRGROUNDS",4,"AUXILIARY WELL CHLORINATION FACILITY","TP","treatment_status","TD","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"15",110001,"ALAMEDA COUNTY WATER DISTRICT",15,"MISSION SAN JOSE WTP","TP","treatment_status","T4","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT"
"16",110001,"ALAMEDA COUNTY WATER DISTRICT",15,"MISSION SAN JOSE WTP","TP","treatment_status","T4","DISINFECTION","DISINFECTION","CHLORAMINES"
"17",110001,"ALAMEDA COUNTY WATER DISTRICT",15,"MISSION SAN JOSE WTP","TP","treatment_status","T4","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"18",110001,"ALAMEDA COUNTY WATER DISTRICT",15,"MISSION SAN JOSE WTP","TP","treatment_status","T4","FILTER","PARTICULATE REMOVAL","FILTRATION, ULTRAFILTRATION"
"19",110001,"ALAMEDA COUNTY WATER DISTRICT",15,"MISSION SAN JOSE WTP","TP","treatment_status","T4","FLASH MIX","PARTICULATE REMOVAL","RAPID MIX"
